tweet,sarcastic,rephrase,dialect
 🔹الثقافة القرآنية🔘 في هذا العصر نحن بأمس الحاجة لاستذكار نبينا وتعزيز الارتباط به من جديد. 💚ذكرئ.المولد.النبوي.الشريف ,0,,msa
قرار وزير الثقافة يخالف قرار الإتحاد الدولي للمنتجين والسينمائيين في شأن عدم إسناد تنظيم مهرجان القاهرة لدكتور يوسف شريف رزق الله,0,,msa
علي سبيل  الآآدمان القـاتل :-    ميرنـدآ تفـآح  شيكولآآته  شيبسي [[ ]]   لو بتحب حآآجة فيهم لآآيك :),0,,msa
 جبهة ثوار سوريا - القطاع الجنوبي : القنيطرة تمكن المجاهدون ضمن معركة  صدى الأنفال صباح اليوم بفضل الله من,0,,msa
 خلق جميل عندما يفضح احد الاصدقاء اسرارك ولا تقوم انت بالمثل,0,,msa
 خليك متحضر  معا نحو التحضر,0,,msa
الجيش السوري بعد 5ستوات من الصمود امام واشكال الإرهاب  يستحق وقفة اجلال هنيئا ل  سوريا و  الشعب السوري ستنتصرون ولو بعد حين,0,,msa
 عيد الأم  امي امي يا اجمل ما يبدأ بهِ يومي فَ سبحان من صنّع من دعواتكِ سعادةٌ لي لا تنتهي,0,,msa
يا ترى إيه اللى بيشدنا كده فى مصررغم كل المشاكل الى حواليها دى؟ خفة دم شعبنا؟ طيبته؟ شهامته ؟ النيل و الشمس؟ مش عارفرغم المنغصات,0,,egypt
لمصر شعب يحميها رب أجعل هذا البلد آمنا مطمئنا,0,,msa
يعني اي شخص يطلب اوبريركب وهو متطمن لان جميع معلومات السيارة يقدر يشوفها وكذلك اسم السائق٢ اوبر كريم,0,,msa
اتمنى ان يحقق الرئيس مرسي وعده بإعادة تشكيل اللجنة التأسيسية حتى يجنب مصر صراعات ستدفع ثمنها غاليا لابد من تطهيرالدولة من الفاسدين والفلول,0,,msa
 افضلي اتجاهل كل شيء واقعد اشوف هاري بوتر اليوم والله افضل ملجئ ,0,,egypt
الحزب اليمين المتطرف في ايطاليا فازوا طبعاً حزب بيرلسكوني   و ٩٠ ٪ منهم مع الخروج من الاتحاد الاوروبي  لكثرة المهاجرين طبعاً ايطاليا   بوابة,0,,msa
امل محمود فى ذمة اللهرحلة عطاء ومقاومة باسلة ستبقى فخرا لجيلنااالهم اجزها خيرا عنا وبواسع رحمتك ادخلها واسع جنتك,0,,msa
 منزين عيالنا عشان تصير مختلطه مب ناقصين حومة كبد .  ماذا لو المدارس مختلطه ,0,,gulf
ما نحن فيه الان هو كله بفضل الشهداء و مصابي الثوره لذلك لابد من تاسيس هيئه تكون مهمتها تكريم اصحاب الفضل فيما نحن فيه الان,0,,msa
  نادين نسيب نجيمما شفتها بس اكيد كالعادة القمر 🙊😍 ,0,,msa
من عيوب وسائل التواصل الاجتماعي أنها أصبحت أداة لرد الفعل وليس الفعل، ننشغل بردود الأفعال اليومية أكثر ما ننشغل بالتخطيط والتفكير للمستقبل,0,,msa
شبيسى ليز اللى كان عليه طماطمية كبيرة  مقدرش انسى,0,,egypt
 لا يفوتكم يا شباب محمد فودة على اكشن يا دوري وفقرة الاخطاء التحكيمية  حممممااااس ,0,,msa
  الغوطة الشرقية:  الجيش السوري يتقدم في حوش شلق بالغوطة الشرقية وسط اشتباكات مع أرهابيي   جيش الاسلام . ,0,,levant
 ثلوج متوقعة على المناطق الشمالية والجوف فجر الثلاثاء  طقس العرب ,0,,msa
  غزة- الاحتلال يقرر استئناف بناء جدار قطاع غزة الجديد ,0,,msa
 المتحدث باسم  حماس حازم قاسم: لم نتلق أي دعوةلحضورالجلسةالافتتاحيةلمؤتمرفتح السابع، وفي حال تلقت الحركة الدعوة سيتم دراستها لاتخاذ قرارمناسب ,0,,msa
 كل سنة وانت الحب ❤️😘 فيروز ,0,,egypt
 رامي عياش 👏🏻👏🏻👏🏻❤️ ,0,,msa
الفرد هو الركيزة الأساسية التي تقوم عليها عملية التغيير والإصلاح والتي و إن بدت صعبة إلا أنها ليست مستحيلة ، بل,0,,msa
زد رصيدك35 المطيري ع قلوبهم .. التمو حزب حسب الله ( الشهاريه ) 😷,0,,levant
 الأم المثالية … تُخفي دمعتها عن أطفالها حتى لا يدخل الحزن إلى قلوبهم تظهر ابتسامتها لصغارها وإن كان قلبها يعتصر الألم!! قلبها كبير,0,,msa
نحن بحاجة إلى وسطية في المعاملات واعتدال في المواقف و الا تعرضنا لعوامل هدم المجتمعات الكبرى   مصر  تونس  لبنان  الإمارات  فلسطين,0,,msa
مصر حسمت هويتها منذ مئات السنين بأنها دولة مسلمة وعربية وقبل ذلك بأنها أم الدنيا التى تفتح أذرعتها للجميع وتتواصل مع كل الحضارات  ,0,,msa
 نرى ان قرار مجلس الامن اليوم حول مراقبة خروج المسلحين و المدنيين مع عائلاتهم م احياء حلب الشرقية نراه من حيث الضرورة لزوم ما لا يلزم. ,0,,msa
الشاباك  الإسرائيلي: حذرنا الجيش من شح المعلومات حول كتائب  القسام الجناح المسلح لحركة  حماس قبيل حرب 2014  بثلاثة أشهر. طيف نت,0,,msa
 استقبل مدير الجامعة ........ فازا بالمركزين الأول والثاني في مسابقة حفظ القرآن الكريم اليوم العالمي للّغة العربية ,0,,msa
الاختيارات مش عاجبانى,0,,egypt
ممكن امك تكون بتحب الفسيخ بس عيالها وجوزها اللي هو ابوك يعني مش بيحبوه وتكون نفسها فيه بس ماتكلوش عشانهم هي ديه  الأم المثالية,0,,egypt
  ماذا لو المدارس مختلطه كان تسمون الخميس الكئيب مش الونيس لو عليكم كمااان داومتوا 😂😂😂 ,0,,levant
مؤتمر حزب العدل لدعم  حمدين صباحي رئيسا لمصر : حمدين صباحي: مشروعي هو قيام دولة مدنية خالية من الفساد,0,,msa
سحل متظاهرين بالقصر العيني - ليعلنها  مرسي بصراحة-هل انت فاقد السيطرة على الداخلية؟ أم انت المسؤول؟,0,,msa
 جنبلاط عرض وريتشارد التطورات في لبنان والمنطقة ,0,,msa
سي بي سي: إبراهيم محلب يشارك باحتفالية تنزانيا اليوم بمناسبة العيد الخمسين للوحدةنيابة عن الرئيس  عدلي منصور  ,0,,msa
الوقوف دقيقة حداد على ارواح شهداء احداث سيناء وعلى شهداء ثورة 25 يناير في بداية المؤتمر الجماهيري,0,,msa
  ماذا لو المدارس مختلطهماقدر اقول انه مرة بيكون مافي فساد لا في فساد بس اعتقد بيكون اقل من اللي صاير الحين بكثير الكثير ,0,,gulf
 وراحت الايام وشوي شوي.. سكت الطاحون عا كتف المي ... وجدي صار طاحون الذكريات .. يطحن شمس وفي.  فيروز ,0,,msa
تم بحمد الله القبض علي عصام العريان شوف بالصورة,0,,egypt
 من احتفالات المولد النبوي الشريف ,0,,msa
نفسي ارجع لأيام كانت الحاجه الوحيده اللي مش تخليني اعرف انام لما يبقي عندي رحله في المدرسه تاني يوم  ذكريات مدرسية,0,,egypt
فى هجاء الغتاتة!,0,,egypt
الحشيش حلو مفيش كلام  اه والله,0,,egypt
بسمة أمل جديدة مع لذة العطاء,0,,msa
بكرة احسن ولسة في امل,0,,egypt
 مردخاي:  حماس وحدها هي المسؤولة عن ما يحدث على حدود  غزة من اضطرابات ومن يحاول التسلل من سكان غزة نحو  إسرائيل  سيعرض حياته للخطر. ,0,,msa
 ذات مومنت لما تقدم عرض عمل جديد متحمسله عمرك ما إشتغلته لزبون واليوم موعد إجتماعه مع مقره في اليابان وشعورك أنا شن درت إن شاء الله يرفضوا!,0,,gulf
العصابة الموجودة في سجن طرة لا يزال لها رجالها وأموالها خارج السجن وتدير عملية الانف,0,,msa
  إبراهيم الجارحي: الحقوق مسألة موضوعية وليست محل آراء.. وليس لدينا استطلاعات حول الفريق  أحمد شفيق تحدد لنا شعبيته  أربعة زائد واحد ,0,,msa
 ساوند تراك هاري بوتر و مقدسات الموت يفوز بـ احمل ساوند تراك على الاطلاق بعد قيم اوف ثرونز 💛💛 ,0,,msa
بس اعلان فودافون الجديد بتاع عمرو دياب دا حوار😍.,0,,egypt
كل مصرى حر فى المانيا يتوجه ظهر غد الى وزارة الخارجية الالمانية فى برلين لاعلان معارضته لمؤتمر الانقلاب وترعاه ملكة الاردن,0,,msa
  روسيا/  لافروف: لمساعدة السوريين يجب تقديم المساعدات والتوقف عن الثرثرة  عاجل بابليك برس ,0,,msa
  نادين نسيب نجيمنجمة الشاشة العربية بوقت الحالي 💗😍 ,0,,msa
هو كان اسمه بوتر وكان دايما يتأخر في التصوير والمخرج يكلمه يقله هاري بوتر هاري بوتر لحد ماطلعت عليه..,0,,msa
 كفاية اسفاف,0,,egypt
حكومة الجزائر تعلن الحداد على كاسترو لمدة ٨ ايام. اقل بيوم واحد عن حداد كوبا!كيف نفسر هذا الخبر والقرار!  الجزائر  كوبا  كاسترو,0,,msa
اللهم انتقم منه انتقم من كل من فرح بدماء المسلمين والله لنقف يوم القيامة لنحاسبك اللهم حسرك على ابناءك,0,,levant
نعم انه  خالد بن الوليد رضي الله عنه يا من يفتخر ب  هتلر,0,,msa
"أشارك اليوم في مبادرة فودافون لمحو الأمية, العلم قوة, سفيرا للمبادرة ومتطوعا لتحقيق الهدف القومي بأن تصبح مصر بلا أمية",0,,msa
بعض الناس يتميزوا بالثبات على مبدا  عدم الثبات على مبدأ ,0,,msa
 ماذا اعطاك الوهاب  الحمد لله انه الوهاب و ليست الهبات في يد البشر,0,,msa
 ي لبييه.  ماذا لو المدارس مختلطه ,0,,msa
حلب المحرقه والتهجير وهذا يذكرنا بما حصل للفلسطينيين فى 48 من الصهاينة تحت نظر واشراف بريطانيا وحلب تحت اشراف الروس والامريكان ومن قبل ايرا,0,,msa
 لا يهمني الكلمة نفسها في قضية ليبرون و فيل جاكسون بقدر ما يهمني اللعب في محتوى القصة و ذكرها من جانب واحد سلبي بينما ليبرون كان قصده نبيل ,0,,msa
شرح تثبيت نظام ويندوز 10 (الفورمات) + نصائح مهمه بعد التثبيت |2017|:,0,,msa
واللى ماتوا فى  بورسعيد عشان رجال ، لما قاوموا حُكم  عسكر كالجبال ️,0,,msa
البديل | البديل   أبو الفتوح: توريط الجيش في السياسة أكثر من اللازم خطر على الأمن القومي,0,,msa
 حنا الخليج يجب ان نتعاون بدعم الجيش الحر بالسلاح والمال والغذاء ودعم النازحين السوريين بكل مكان وان شاء الله سنقف بجانبهم حتى النصر ,0,,gulf
فيدرر روديك ويمبلي ٢٠٠٩  افضل مباراة تنس شاهدتها,0,,msa
 نفسك فى أية فى الجنة ؟ نكلم الرسول صلى الله عليه و سلم =],0,,egypt
حمداً لله على سلامة أبنائنا المجندين المحررين، و نهنئ أهلهم و أحبائهم بعودتهم و نهنئ الشعب المصري بإطلاق سراحهم,0,,msa
لن يأتى عام 2014 الا وديون مصر تسجل رقما عالميا لم تصل اليه اى دولة ولن ينفعنا مليارات الخليج الملوثة بدماء اولادنا,0,,msa
 الصورة ليست في سوريا او فلسطين إنما في ليبيا  بنغازي والسبب ان مدينة مارقة اسمها  مصراته تريد ان تحكم ليبيا وتحرق الأخضر واليابس بوكرشة ,0,,msa
لا لازدواجية المعايير عند نبذ العنف، لا لتبرير العنف بالسياسة أو أهدافها أو اختلافاتها، لا للإقتتال الأهلي عبر دوائر العنف والعنف المضاد,0,,msa
أ ف ب : إصابة 16 جندياً  روسيا في حادث طائرة في  سيبيريا الشرقية.,0,,msa
يسقط دستور جمهورية مرسي الإخوانية,0,,msa
 برودة سماء  تعز يقابلها دف ارض  تعز وهي تحتضن ابناءها الشرفاء من الجيش والمقاومة وتقول لهم تقدموا واغزوا العداء وهللوا وكبروا الله.  اليمن🔴 ,0,,msa
 لو ده جنان إتجنن لما تشوف واحد بيعاكس واحده روح اعمل اخوها,0,,egypt
متفق مع جوانب بمقال أحمد خالد توفيق وأعتقد أن التحفز ضد الحاكم دون فبركة أو كذب هو أمر مهم في بلد تعشق صناعة الفرعون,0,,msa
المرأة هي سر توازن الحياة وسر جمال الكون ومصدر المحبة والرحمة في هذا العالم كل عام وأنتن أقوى وأجمل وأفضل  يوم المرأة…,0,,msa
من لا يستطيع أن يفهم أن 'اللهم بلغنا يونيو' كانت توقاً لإجازة بعد عمل شاق مع كل الأطراف بكل احترام ثم يسب و يخوّن سامحه الله,0,,msa
 لبنان | الرئيس ميشال عون يستقبل الامير خالد الفيصل امير مكة في خطوة لاستعادة العلاقات بين السعودية ولبنان ,0,,msa
ما كل هذه الأعداد! انا مبهور عجلة ورا يا مرسي وإلا هندخل في مرحلة وا كرساه,0,,egypt
 محد. يغيب  ̮ على مسواليتي   ماذا لو المدارس مختلطه     ,0,,msa
التعويذات المذكورة في سلسلة أفلام هاري بوتر هي كلمات حقيقية ، من لغات مختلفة ، وكلها تأتي بصيغة الأمر بنفس طريقة التعويذات السحرية,0,,msa
٢- صعدنا الاولمبياد خطا الحكم خليل جلال و بناتي غير صحيح لصالحنا ضد كوريا الشماليه ٣ خطا اداري كسبنا العراق بعد مالعبنا و خسرنا يتبع,0,,msa
الأسواني:اذا لم تتوحد القوى الوطنية فورا من أجل استخلاص الدولة المصرية من أيدي الاخوان فلسوف ندفع ثمن غاليا نحن وأولادنا,0,,msa
السلام عليكم ورحمة الله وبركاتة، انا وسيط للشراء من موقع امازون عمولتي هي 60ريال على الطلبية كاملة ، تنبيه : العمولة لاتشمل الشحن.,0,,msa
 حاجات بتفرح في مصر الناس الكبيره في السن اللي بتدعيلك لمجرد انك رديت سؤالهم بأدب او عديتهم الطريق,0,,egypt
صح :),0,,egypt
 محافظ القاهرة: إزالة العقارات المخالفة بالقرب من   المحكمة الدستورية  لحماية المواطنين,0,,msa
   مش قصدي عليك يا سلامة,0,,egypt
رُب دعاء خالص صادق ترفعه إلي السماء يجلب لك الخير و يأتي بفرج و يُزيل الهم يا رب,0,,msa
ممكن تكون ضد مبارك ومرسي ممكن تكون مع مبارك ممكن تكون مع مرسي ،، بس الاكيد كلنا لازم نكون مع المساواة والعدل أما…,0,,egypt
الانقلاب حرق برادعى وصباحى ابو الفتوح وحزب النور الضحية القادمة من عيار ثقيل,0,,msa
ياخى الفجيكات دول يتحبوا من غير مقدمات كده :)  نوبة,0,,egypt
 اعتراف انهرده كان يوم عالمى وكله بان على حقيقته,0,,egypt
درس العربي في الأرياف بيدعيلكوا  محمد محسن ومستر ممدوح بييدعيلكوا برده :) :),0,,egypt
  روسيا و  الصين تستخدمان الفيتو مجدّدًا ضد السوريين، برفض مشروع قرار يطالب بهدنة مدتها سبعة أيام في مدينة  حلب. سوريا ,0,,msa
 أن أكون وحيدًا معك، في نهاية اليوم،ألا أرى سواك، بينما المساء يمضيفقط ليؤكد قليلة هي المسرات،ومسرتي الوحيدة: أني وحيد معك.* بوب ديلان ,0,,msa
انه دائماً من الرائع أن تكسب الجوائز لأن هذا يعني انك قدمت موسماً جيداً  تشلسي  تشيلسي,0,,msa
 جسدكِ : غيمةٌ ،جسدكِ : مطرٌ من الضوء ،جسدكِ : غابةٌ في قصيدة سحر ،جسدكِ : عطرٌ حيٌّ ،جسدكِ : صلاةٌ ،جسدكِ : موسيقى ! أحمد الشيخ علي ,0,,msa
أسماء الجناة والمتهمين بالنيابة العامة وهي تباشر تحقيقاتها نحن سنكشف الحقائق بالكامل للرأي العام وسنحمل جميع الأطراف مسئولياتها للتوضيح,0,,msa
 إطلاق النار الذي سمع قرب حاجز  قلنديا قبل قليل، نتج عن إطلاق جنود  الاحتلال النار صوب مستوطن كان يركض باتجاه الحاجز ظنوا أنه فلسطيني. ,0,,msa
أدين بشدة تقديم كل صاحب رأي أو ناشط سياسي للمحاكمات العسكرية علي المجلس العسكري الالتزام بتعهده بعدم إحالة المدنيين لمحاكمات عسكرية,0,,msa
قد ترى الأمور مستعصية عليك بعض الشيء لكن اذا ما نظرت من ذاك الباب الذي لا ينظر إليه احد سوف ترى الأمور متجلية واضحة ومفهومة لديك  حاول,0,,msa
أطالب بكليب بوورد ونص تنبؤي بالكمبيوتر. مو معقول وصلنا ويندوز 10 ومش موجود واحد فيهم ع الأقل.,0,,levant
 وكل مدينة سوريه دخلتها القاعدة (جبهة النصرة) او جند الأقصى او داعش تعبث بها وتقتل من اهلها اكثر مما يقتل بشار ثم تسلمها للنظام مدمرة جداً ,0,,msa
بالفيديو | الجوهري : مصنع أسمنت تيتان اعتداء على حق مواطني وادي القمر في الحياة   كفاية  اوقفوا الفحم,0,,msa
بحب بلدى و بكره الدم والظلم  سأنتخب السيسي  تحيا مصر ,0,,egypt
د علاء الأسواني: ما هي آليات التحول الديموقراطي الذي تحيد عنه السلطة الحالية ؟!> أقرأ المقال كاملاً >> … … …,0,,msa
 زمكان -  مصر | أخبار مراسلينا | ابراهيم  حماد يمنع استخدام عربيات ربع النقل فى نقل الركاب فى  اسيوط اسيوط -,0,,msa
لمن كان يسأل عن عنوان  ديوان شيبان الذي يقام فيه  درس الاثنين  الفحيحيل قطعة 9 شارع المخفر  انشر  الكويت …,0,,msa
قرارات مرسي إهانة للذات الشعبية والقضائية من اجل الذات الإخوانية,0,,msa
  ستبقى حلبما بقيت لا اله الا الله تزلزل عروش الطغاه ,0,,msa
فلتقل خيرا أو لتصمت  خلق جميل,0,,msa
أبو الفتوح : لا يوجد الأن مواطن مصرى شريف لا يذهب الأنتخاب بعد الأن,0,,egypt
اطاح الاستفتاء بمبدأ تكافؤ الفرص حينما لم يسمح بالتصويت لكل المقيمين بالخارج الا من قام بالتسجيل في الانتخابات,0,,msa
 أول مرة أعرف ان أمازون ممكن أشتري من عليها حاجة مستعملة زي أولكس ,0,,egypt
لو اقدر اخليك جنبي ع طول ♡',0,,egypt
 شجرة النجمة الذهبية ..ذهبية   نوال الزغبي ,0,,msa
مصر العربية |مقالات| مروة رخا تكتب: مونتيسوري مصر  4  لقراءة المقال من هنا,0,,msa
٧ بعض الحضور في المنتدى من المصريين المؤيدين لجماعة الإخوان هاجمني وانتقد آرائي، ولكن دون تطاول أو عنف لفظية,0,,msa
فى لفتة جميلة من د عبد المنعم ابو الفتوح قام بالأمس بزيارة مفاجئه للمتطوعين فى مقر الحملة بشارع رمسيس,0,,msa
  الولايات المتحدة 🇺🇸 عاجل |  ترامب يختار الجنرال المتقاعد جيمس ماتيس وزيرا للدفاع ,0,,msa
 يارب عونك ونصرك ورحمتك قبل كل شيء لسكان حلب ،، يارب ارحم ضعف صغيرهم وشيبة كبيرهم وفجع الثكالى والمقهورين 🙏 ,0,,msa
شكرا على مشاعرك الطيبة,0,,msa
 فنجان قهوه+ ايس كاب+هاند فري+صوت مروان خوري+ماجد المهندس+رامي عياش+سريرك+بطانيتك+كلسونك 😂😂اللهم ارزقنا الخير بعدد قطرات المطر❤ ,0,,egypt
 يسألنيوش رايك كيري جاء للسعودية مُهرولا؟أجبتهما فعلته دول مجلس التعاون في قمة البحرينكان ضربة معلمإعلان التحالف مع بريطانيا أيقظ أمريكا ,0,,gulf
 مدارسنا مختلطه من الابتدائي للحين  ماذا لو المدارس مختلطه ,0,,gulf
 نجران: إطلاق صلية صواريخ على تجمعات لـ  الجيش السعودي وآلياته في موقع الهرم محققة إصابات مباشرة  لبنان الآن ,0,,msa
  عادل اماممن اخر حلقة في مسلسل مأمون و انا حاسس انك هتموت السنادي ,0,,egypt
 كلمة بوتن ولمس كانت قوية وفيها تحدي كبير للغرب بخصوص ليبيا قال حرفيا( سنتصدى للارهاب المصنوع في كل العالم ولن نسمح بتدمير ما تبقى من ليبيا ) ,0,,msa
نهنئ الدكتور عبد المنعم أبو الفتوح بتأسيس حزب  مصر القوية ، وندعو له بالتوفيق وبأن يكون هذا الحزب خطوة نحو بناء,0,,egypt
  لافروف : سنستمر في تقديم المساعدات اللازمة للحكومة السورية لتأمين المعابر في  حلب. ,0,,msa
مصر القوية |11-حذرنا من خطر تحول سلطات الدولة لمجرد سند لسلطة عسكرية لا تفهم سياسة ولا تعي معنى الدولة ومهامها وحدودها خارج فكرة حمل السلاح,0,,msa
 معركة حلب لا شك بأنها المعركة الأقسى والأهم في كل  المعارك التي اندلعت في إطار الحرب التي يشنها العدوان الفاجر  على  سوريا ستبقي حلب ,0,,msa
 مؤلم أن ترى العدو يفتك في  اليمن و  سوريا و  العراق ثم يستحي أئمتنا من قنوت النوازل أو المطالبة به !الدعاء أساس العدّة . ,0,,msa
  أبو الفتوح أعمل مع مجموعة رائعة من شباب الثورة وأقول لهم أحب ان تقودوني للعمل وأن نعمل كفريق ومن يجرح فين,0,,msa
جبران تويني ١٥ سبتمبر ١٩٥٧ - ١٢ ديسمبر ٢٠٠٥ . الله يرحمك,0,,msa
يجب ووقف فورى للعنف ومحاكمة المتورطين فيه علناً,0,,msa
  عاجل|  ليبيا.. اصوات اطلاق نار كثيف في مناطق المشروع - ابوسليم - صلاح الدين - في  طرابلس. ,0,,msa
 في علاج العنف لاتكفي الحلول الأمنية لابد من حلول  لأزمة الفكر العربي والغربي على السواء  الكرك   هجوم الكرك   روسيا تقضي على حلب  امريكا ,0,,msa
كوبر يطلب تقريرا عن  احمد الشيخ  قبل إعلان قائمة أمم افريقيا 2017,0,,msa
هيئة مستشارى قضايا الدولة ترفض تعديلات الدستور مؤكدة انه يفتح الباب للفساد وشهد شاهد من اهلها,0,,msa
انا لست روميو ?يرونا اقف مشدوها عاجزا و انت تطلين علي من شرفة،انا أحبك و لن اذهب،انا أحبك و سأمد يدي اتلمسك لنبقى فلقد خلقنا لأحبك  مصر,0,,msa
  عفاش ينتصر على مؤامرة شق الصف برعاية  كيري بموافقته على الاتفاق بين انصار الله و السعوديه،بعد الموافقه تنصل كيري والسعوديه من الاتفاق ,0,,msa
رجل تقتل ابنته ويسجن هو ورفاق دربه ثم يبتسم يوم القبض عليه انه الحق اصحابه دائمأ مطمئنون …,0,,msa
 قسيس يرفع الأذان في  فلسطین  القدس تحديا للاحتلال الصهيوني. هذه هي فلسطين واهلها ,0,,msa
  لافروف: هيئة المفاوضات السورية ترفض تنفيذ قرارات مجلس الأمن ,0,,msa
 هنا في مدينة تصمد..تبدأ من جديد دائمآ .. تنزف وجعآ وتبتسم.. قتلونها وتحيا..يهدمونها وتبنى..عيش أنافي مدينة لا تعرف الإستسلام بنغازي ,0,,magreb
 مسيرة جبران تويني مستمرة مع النهار في انارة كل خطوة على طريق تحقيق السيادة والحرية والاستقلال دفاعاً عن لبنان العظيم ,0,,msa
شكرا لدعمك,0,,egypt
 حظوظ المرشح الرئاسي الامريكي عن الحزب الجمهوري دونالد ترامب تتقدم على مرشحة الحزب الديموقراطي هيلاري كلنتون بعد مناظرة البارحة ، والآتي اعظم ,0,,msa
يارب اجعلها لليلةة فرح لعشاق العالمي بالتوفيق ي نصرنا  النصر الشباب,0,,msa
اللهم ارزقنا نعيم الجنه آمين,0,,msa
المرأه شريك أساسي في مشروعنا للوطن يكفي ما تعرضت له من تمييز وإقصاء بسبب موروثات إجتماعية سيئة وفهم خاطئ للإسلام,0,,msa
  جهزوا سواعدكم اتى عهد التغيير ، اتى  بيّ التحرير : فخامة الرئييس  الجنرال ميشال عون  ,0,,msa
 عندي وحده تشبه هاري بوتر يا انها كيوتيه😨!😭💗 ,0,,egypt
 إبراهيم محلب يعلن افتتاح خط طيران  القاهرة -  إنجامينا عاصمة تشاد أول أغسطسويكلف وزير الطيران باتخاذ الإجراءات,0,,msa
 كثيرة هى المتاجرات  .....لكن المتاجرة بدم شخص واتهام ناس بيه هكذا ...تدل على قذورات اﻹخوان والمقاتلة ... طرابلس بنغازي ليبيا ,0,,msa
 سلام رامي . أنا كنزا من الجزائر راسلتك كدا مرة لكنك ما رديتش عليا فادا كنت رامي عياش الحقيقي رد عليا و لو بكلمة أرجوك . ,0,,msa
فخور أني مصري اولا و اخيرا,0,,egypt
  ستولتنبرغ| سنعمل مع الرئيس الأمريكي المنتخب  ترمب لتطوير حلف  الناتو مباشر  تركيا ,0,,msa
ابتسم في وجه الناس فإنها صدقة,0,,msa
نهنئ إخواننا الأقباط باختيار الأنبا تواضروس بابا الأسكندرية وبطريرك الكرازة المرقسية بناء وطننا يحتاجنا جميعاً معا نبني مصر,0,,egypt
أصدقائى لاتنظروا للوراء وإنسوا التجربة الاخوانية بما لها وعليها لنبدأ مرحلة جديدة لمصر بيد واحدة نبنى ونعمر والكل يشارك,0,,msa
   استهداف النازحين بحلب .. جريمة حرب على مرأى ومسمع الجميع، متى يتحرك ضمير  العالم تجاه مأساة  السوريين ؟!! أنقذوا حلب سوريا ,0,,msa
على فكرة الخطاب ماكانش طائفيو هو بيتكلم عن الاخوان كجماعة سياسية تستخدم الدين على حد قوله في لاغراضها،الطائفية لما يهاجم دين,0,,egypt
  الكرملين: الرئيس الروسي بوتن تحادث مع الرئيس الإيراني روحاني وبحثا الملف السوري  لبنان الآن ,0,,msa
الدنيا مش ابيض يااسود دنيا كل الالوان حط لوني على لونك نوصل ابعد مكان كل حلم وله بداية بس شرط تكون معايا  كاريوكى,0,,egypt
فالانتقاص من صلاحيات البرلمان المنتخب واعطاء صلاحيات تشريعية لمجلس استشاري معين هما أمران ينبغي على كل مؤمن بالديمقراطية أن يرفضهما,0,,msa
 سليمان خاطر بطل,0,,egypt
 السيدات حجّه وعائشه ومريم بنات أحمد الشيخ من النساء اللواتي يمثلن المرأه الرشيديّه الأصيله الفاضله والكريمه فلهن كل معزه وتقدير بقلمي ,0,,msa
 قالت لنا العصفورة : في أول زيارة خارجية له منذ تسلمه منصب رئيس الجمهورية في لبنان الرئيس ميشال عون الى دمشق قريباً للقاء الأسد ,0,,msa
  كيري يعلن تجديد الهدنة ويطالب كل الأطراف الالتزام بوقف الأعمال القتالية و  السعودية ومرتزقتها يعلنون إستئناف العمليات ..!! ,0,,msa
طال  غيابك عني  ليه ؟؟ معقول  نسيتني و لا  ايه !!,0,,gulf
وفشلت  ثورة الانترنت زي ما فشلت ثورات كتير,0,,egypt
  حلب تحرق حضارة  روسيا  الصين  أمريكا  أوروبا يتشدقون بحقوق الإنسان من ببنودها  أخراج المسلمين واستباحت دمائهم أعراضهم دورهم ديارهم (وأعدوا) ,0,,msa
 العهد الجديد في ظل فخامة الرئيس ميشال عون سيشهد مشاركة كافة المواطنين لحقوقهم وواجباتهم وعدم تهميش اي شريحة ولا سيما ابناء بعلبك الهرمل . ,0,,msa
الى الشيخ احمد الطيب انا مسلم سنى وانت لا تمثلنى احترم الازهر لكننى احتقرك جدا,0,,msa
 اللهم انصر اخواننا المسلمين  العراق سوريا فلسطين بورما ,0,,msa
أزف الوقت لإنهاء الاستقطاب البائس الذي نعيشه بأسلوب عقلاني، وأن نتحلى بروح التسامح، لنبدأ في البناء بسواعد كل مصري ومصرية,0,,msa
  اعجبني رأيكوان رفضت التعميم سلبا اتفق معك ان موروث مصر الحضاري هو نواه مشروع الوسط للبناء عليه,0,,egypt
ثمان غارات بالطائرات ل  النظام على مدينة  دومة وخمسة عشر على  المليحة في  الغوطة الشرقية نسأل الله أن يرد كيدهم في نحرهم وأن…,0,,msa
 الخارجية الروسية: محادثات حول سوريا في موسكو غدا بمشاركة وزراء دفاع وخارجية تركيا وإيران. ,0,,msa
إنتا فرحة جات لِ عندي بعد دنيا من التعب السعادة إللي بعشها يَ حبيبي إنتا السبب ضحگتك عقلك جنونك والحنان إللي في عيونك  شير…,0,,egypt
ماحدش له دعوة بيا انا و جيمي اتنين اخوات بيتكلموا ماحدش له دعوة,0,,egypt
  احمد شفيق لن يعود !== بني سويف ارحل بامر الشعب تيران صنافير مصرية مصطفى بكري سامح شكري مجلس الوزراء مسرح مصر هشام جنينة ,0,,msa
أنا أبكي !! وأدري أن دموع العين خذلان وملح !!  محمود درويش,0,,msa
رحم الله جمال البنا أتاح مكتبته الضخمة في العباسية للشباب وحرص على مساعدتهمالمكتبة عنوانها 195 شارع الجيش بالقاهرة أتمنى أن تظل تعمل بعده,0,,msa
